,work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
461,2022,MI,FT,Data Engineer,86193,GB,100,GB,M
462,2021,SE,FT,Machine Learning Scientist,225000,US,100,CA,L
463,2023,MI,FT,Deep Learning Engineer,150000,US,100,US,M
464,2023,SE,FT,Data Engineer,130000,US,0,US,M
465,2022,SE,FT,ETL Developer,250000,US,100,US,M
466,2022,EN,FT,Data Engineer,85000,US,0,US,M
467,2023,SE,FT,Data Analyst,70000,US,0,US,M
468,2023,EN,FT,BI Developer,160000,US,0,US,M
469,2022,SE,FT,Data Architect,63000,US,0,US,M
470,2023,SE,FT,Machine Learning Engineer,184700,US,0,US,M
471,2022,MI,FT,Data Engineer,110820,GB,0,GB,M
472,2022,MI,FT,Data Analyst,80000,US,100,US,L
473,2021,SE,FT,Research Scientist,50000,FR,100,US,S
474,2022,SE,FT,Data Engineer,190000,US,100,US,M
475,2022,SE,FT,Research Scientist,89306,FR,50,FR,L
476,2022,MI,FT,Research Scientist,84053,DE,0,DE,S
477,2023,MI,FT,Data Engineer,115092,US,0,US,M
478,2023,EX,FT,Data Architect,180000,US,0,US,M
479,2023,EX,FT,Data Engineer,115000,US,0,US,M
480,2022,EN,FT,Data Manager,45600,US,100,US,M
481,2023,SE,FT,Machine Learning Engineer,142200,US,0,US,M
482,2022,SE,FT,Data Analyst,170000,US,100,US,M
483,2022,SE,FT,ML Engineer,160000,US,0,US,M
484,2023,EN,FT,Data Analyst,150000,US,0,US,M
485,2022,MI,FT,Data Analyst,49253,GB,100,GB,M
486,2021,EN,FT,Data Analyst,80000,US,100,US,M
487,2023,MI,FT,Data Engineer,85066,GB,100,GB,M
488,2022,SE,FT,Data Engineer,120000,US,0,US,M
489,2022,SE,FT,Data Analyst,130000,US,0,US,M
490,2022,MI,FT,Data Specialist,165000,US,0,US,M
491,2023,SE,FT,Applied Scientist,136000,US,0,US,L
492,2022,EN,FT,Business Data Analyst,50000,IN,100,AS,L
493,2023,SE,FT,Data Scientist,176000,CA,0,CA,M
494,2022,SE,FT,Analytics Engineer,205300,US,0,US,M
495,2022,SE,FT,Data Engineer,220000,US,100,US,M
496,2023,MI,FT,Data Analyst,46178,GB,0,GB,M
497,2022,SE,FT,Data Analyst,110000,US,0,US,M
498,2023,MI,FT,Data Engineer,154000,US,0,US,M
499,2023,MI,FT,Data Engineer,149600,US,0,US,M
500,2023,SE,FT,Analytics Engineer,143200,US,0,US,M
501,2023,MI,FT,Data Analyst,206000,US,0,US,M
502,2022,SE,FT,Data Engineer,131300,US,100,US,L
503,2022,MI,FT,Data Engineer,70000,US,0,US,M
504,2022,SE,FT,Data Scientist,51000,US,100,US,M
505,2023,SE,FT,Data Analyst,65000,US,0,US,M
506,2022,SE,FT,Data Specialist,70000,US,0,US,M
507,2022,SE,FT,Data Architect,250000,US,0,US,M
508,2022,SE,FT,Cloud Database Engineer,160000,US,100,US,M
509,2023,SE,FT,Data Scientist,203500,US,0,US,M
510,2023,SE,FT,Data Engineer,130000,US,100,US,M
511,2022,SE,FT,Data Science Consultant,94500,US,0,US,M
512,2023,EN,FT,AI Programmer,70000,IN,0,AU,L
513,2022,SE,FT,Data Science Tech Lead,375000,US,50,US,L
514,2022,SE,FT,Data Analyst,84900,US,100,US,M
515,2023,SE,FT,Machine Learning Engineer,174000,DE,0,DE,M
516,2022,SE,FT,Data Scientist,185900,US,0,US,M
517,2022,MI,FT,Machine Learning Scientist,160000,US,100,US,L
518,2023,SE,FT,Data Engineer,252000,US,0,US,M
519,2023,SE,FT,Data Analyst,140000,US,0,US,M
520,2022,SE,FT,Analytics Engineer,150000,US,0,US,M
521,2023,SE,FT,Data Analyst,51508,ES,100,ES,M
522,2023,MI,FT,Data Analyst,130000,CA,100,CA,M
523,2023,SE,FT,Machine Learning Engineer,106900,US,0,US,M
524,2022,MI,FT,Data Engineer,161000,US,100,US,M
525,2022,MI,FT,Data Scientist,130000,US,100,US,M
526,2022,MI,FT,Data Analyst,100000,US,0,US,M
527,2022,SE,FT,Data Analyst,116150,US,100,US,M
528,2023,SE,FT,Data Architect,110000,US,100,US,M
529,2023,EN,FT,Data Engineer,135000,US,0,US,M
530,2022,MI,FT,Data Analyst,150000,US,0,US,M
531,2023,SE,FT,Analytics Engineer,197000,US,0,US,M
532,2022,SE,FT,Data Scientist,47280,ES,0,ES,M
533,2023,EN,FT,BI Developer,100000,US,0,US,M
534,2020,SE,FT,Data Scientist,120000,US,50,US,L
535,2023,SE,FT,Data Engineer,130000,US,100,US,M
536,2023,SE,FT,BI Developer,140000,US,100,US,M
537,2023,SE,FT,Data Engineer,129000,US,0,US,M
538,2023,EN,FT,Autonomous Vehicle Technician,7000,GH,0,GH,S
539,2022,EN,FT,Data Engineer,135000,US,0,US,M
540,2021,SE,FT,Data Science Engineer,127221,CA,50,CA,L
541,2022,SE,FT,Analytics Engineer,135000,US,0,US,M
542,2023,SE,FT,Machine Learning Engineer,204500,US,0,US,M
543,2021,SE,FT,Lead Data Engineer,160000,PR,50,US,S
544,2023,SE,FT,Data Analyst,94000,US,0,US,M
545,2023,SE,FT,Data Engineer,160000,US,100,US,M
546,2022,SE,FT,Data Engineer,135000,US,0,US,M
547,2023,MI,FT,Data Science Manager,70000,US,0,US,M
548,2022,SE,FT,Applied Data Scientist,177000,US,100,US,L
549,2023,SE,FT,Machine Learning Engineer,288000,US,100,US,M
550,2022,SE,FT,Data Scientist,129300,US,0,US,M
551,2023,SE,FT,Data Scientist,203000,US,100,US,M
552,2022,SE,FT,Data Scientist,140000,US,100,US,L
553,2022,SE,FT,Research Engineer,149850,US,0,US,M
554,2022,SE,FT,Data Engineer,160000,US,100,US,M
555,2022,MI,FT,Analytics Engineer,54000,US,0,US,M
556,2022,EN,FT,Data Engineer,49253,GB,100,GB,M
557,2023,SE,FT,Machine Learning Infrastructure Engineer,107309,FR,100,FR,M
558,2023,SE,FT,Applied Scientist,205000,US,0,US,M
559,2022,MI,FT,Data Scientist,180000,US,0,US,M
560,2023,SE,FT,Data Manager,120000,US,0,US,M
561,2023,SE,FT,Data Engineer,155000,US,0,US,M
562,2023,EN,FT,AI Developer,64385,DE,0,DE,M
563,2022,SE,FT,Machine Learning Engineer,189650,US,0,US,M
564,2022,MI,FT,Data Engineer,95000,US,0,US,M
565,2021,MI,FT,Data Engineer,28016,TR,100,TR,M
566,2022,SE,FT,Research Engineer,249500,US,0,US,M
567,2022,SE,FT,Data Analyst,81666,US,100,US,M
568,2022,SE,FT,Data Analyst,95000,US,100,US,M
569,2023,SE,FT,Data Analyst,227000,US,0,US,M
570,2023,SE,FT,Applied Scientist,222200,US,0,US,L
571,2022,SE,FT,Data Scientist,151800,US,0,US,M
572,2023,SE,FT,Data Engineer,115000,US,0,US,M
573,2021,MI,FT,Data Scientist,130000,US,50,US,L
574,2023,SE,FT,Data Analyst,170550,US,100,US,M
575,2023,SE,FT,Data Scientist,185000,US,0,US,M
576,2023,SE,FT,Data Scientist,120000,US,0,US,M
577,2022,SE,FT,Data Engineer,130000,US,0,US,M
578,2023,SE,FT,Data Scientist,275300,US,100,US,M
579,2023,EX,FT,Director of Data Science,249300,US,0,US,M
580,2023,MI,FT,Machine Learning Engineer,121523,GB,0,GB,M
581,2023,MI,FT,Data Engineer,75000,US,0,US,M
582,2022,MI,FT,Data Engineer,92350,GB,100,GB,M
583,2022,MI,FT,Data Scientist,110000,US,100,US,L
584,2022,SE,FT,Data Analyst,127000,US,0,US,M
585,2022,SE,FT,Analytics Engineer,140250,US,100,US,M
586,2023,SE,FT,Data Engineer,300000,US,0,US,M
587,2023,SE,FL,Machine Learning Researcher,50000,UA,50,UA,S
588,2023,SE,FT,Data Scientist,160000,US,0,US,M
589,2023,MI,FT,Data Analyst,128000,US,0,US,M
590,2022,SE,FT,Data Scientist,141525,US,0,US,M
591,2022,SE,FT,Data Scientist,37824,ES,0,ES,M
592,2022,SE,FT,Data Engineer,216000,US,100,US,M
593,2023,SE,FT,Data Science Manager,245100,US,0,US,M
594,2022,MI,FT,Data Analyst,85000,US,0,US,M
595,2023,SE,FT,Data Engineer,166000,US,100,US,M
596,2022,SE,FT,Machine Learning Engineer,135000,US,0,US,M
597,2023,SE,FT,Research Engineer,107309,DE,100,DE,S
598,2023,SE,FT,Research Engineer,293000,US,0,US,M
599,2022,SE,FT,Data Analyst,112900,US,100,US,M
600,2023,SE,FT,Data Scientist,165000,US,0,US,M
601,2023,MI,FT,Data Engineer,60000,MX,100,MX,M
602,2023,SE,FT,Data Manager,140000,US,0,US,M
603,2023,SE,FT,Data Engineer,37558,PT,0,PT,M
604,2023,SE,FT,Data Analyst,120000,US,0,US,M
605,2023,EN,FT,Data Engineer,160000,US,0,US,M
606,2023,MI,FT,Data Scientist,97750,US,100,US,M
607,2023,SE,FT,Data Engineer,175000,US,100,US,M
608,2023,SE,FT,BI Analyst,135000,US,0,US,M
609,2022,SE,FT,Machine Learning Manager,200000,US,100,US,M
610,2022,SE,FT,Data Engineer,99100,US,0,US,M
611,2023,MI,FT,Data Analyst,100000,US,0,US,M
612,2023,SE,FT,BI Developer,135000,US,100,US,M
613,2023,SE,FT,Data Scientist,170000,US,100,US,M
614,2022,SE,FT,Data Science Engineer,60000,AR,100,MX,L
615,2022,SE,FT,Data Scientist,210000,US,100,US,M
616,2022,SE,FT,Data Analyst,110000,US,100,US,M
617,2021,MI,PT,Data Engineer,69741,NL,100,NL,L
618,2023,SE,FT,Data Scientist,120250,GB,0,GB,M
619,2022,SE,FT,Data Engineer,139860,US,0,US,M
620,2022,EN,FT,Data Science Consultant,27317,ES,50,ES,L
621,2023,SE,FT,Data Analyst,81666,US,100,US,M
622,2023,SE,FT,Data Analyst,127075,US,100,US,M
623,2023,EX,FT,Data Engineer,175000,US,0,US,M
624,2022,SE,FT,Data Scientist,120000,US,0,US,M
625,2023,MI,FT,Data Engineer,90000,US,100,US,M
626,2023,SE,FT,Data Scientist,113000,CA,0,CA,M
627,2023,SE,FT,Applied Scientist,262500,US,0,US,L
628,2022,SE,FT,Data Engineer,130000,US,0,US,M
629,2022,MI,FT,BI Data Analyst,45050,AU,50,AU,L
630,2023,SE,FT,Data Engineer,146000,US,0,US,M
631,2022,SE,FT,Data Engineer,150000,US,100,US,M
632,2023,SE,FT,Data Scientist,122000,US,0,US,M
633,2023,SE,FT,Machine Learning Engineer,172200,US,0,US,M
634,2023,SE,FT,Machine Learning Engineer,109400,US,0,US,M
635,2022,SE,FT,Analytics Engineer,92350,GB,0,GB,M
636,2022,MI,FT,Data Analyst,75000,US,100,US,M
637,2023,SE,FT,Data Architect,174500,US,0,US,M
638,2023,SE,FT,Data Analyst,85500,US,0,US,M
639,2023,SE,FT,Data Scientist,275300,US,100,US,M
640,2023,SE,FT,Data Analyst,153600,US,0,US,M
641,2022,MI,FT,Machine Learning Researcher,150000,US,100,US,M
642,2023,EN,FT,Data Engineer,61800,US,100,US,M
643,2023,SE,FT,Applied Scientist,136000,US,0,US,L
644,2023,MI,FT,Data Analyst,100000,US,100,US,M
645,2023,SE,FT,Applied Data Scientist,68318,AU,100,FI,M
646,2022,SE,FT,Data Engineer,117000,US,0,US,M
647,2021,MI,FT,Data Engineer,100000,US,100,US,L
648,2022,SE,FT,Machine Learning Engineer,214000,US,100,US,M
649,2023,MI,FT,Data Analyst,85066,GB,0,GB,M
650,2021,SE,FT,Lead Data Engineer,276000,US,0,US,L
651,2022,SE,FT,Data Engineer,132320,US,100,US,M
652,2021,SE,FT,Data Science Manager,94665,IN,50,IN,L
653,2023,SE,FT,Data Analyst,125000,US,0,US,M
654,2023,SE,FT,Data Engineer,110000,US,0,US,M
655,2022,SE,FT,Machine Learning Manager,150000,US,100,US,M
656,2023,SE,FT,Data Scientist,38631,ES,0,ES,M
657,2023,SE,FT,Data Analyst,125000,US,0,US,M
658,2022,SE,FT,Data Scientist,141525,US,100,US,M
659,2023,SE,FT,Research Scientist,141288,US,0,US,M
660,2023,MI,FT,Data Analyst,78990,GB,0,GB,M
661,2022,SE,FT,Analytics Engineer,190000,US,100,US,M
662,2021,EN,FT,Data Analyst,59102,FR,50,FR,M
663,2023,MI,FT,Data Engineer,125000,US,0,US,M
664,2022,SE,FT,Data Analytics Manager,109280,US,100,US,M
665,2023,MI,FT,Data Analyst,143000,US,0,US,M
666,2022,SE,FT,Data Architect,190000,US,100,US,M
667,2023,SE,FT,Machine Learning Engineer,276000,US,0,US,M
668,2023,SE,FT,Principal Data Scientist,85847,ES,100,ES,L
669,2020,EN,FT,Big Data Engineer,70000,US,100,US,L
670,2022,EN,FT,Data Scientist,80000,US,0,US,M
671,2020,SE,FT,Machine Learning Scientist,260000,JP,0,JP,S
672,2022,MI,FT,Data Engineer,95000,US,0,US,M
673,2023,SE,FT,Data Scientist,38631,LV,0,LV,M
674,2023,SE,FT,Data Engineer,153600,US,0,US,M
675,2023,SE,FT,Analytics Engineer,190000,US,100,US,M
676,2022,SE,FT,Data Scientist,203500,US,0,US,M
677,2023,EX,FT,Data Engineer,106500,US,0,US,M
678,2022,MI,FT,Deep Learning Engineer,49253,GB,100,GB,M
679,2023,EN,FT,Data Analyst,100000,UZ,100,US,L
680,2023,SE,FT,Data Architect,213120,US,100,US,M
681,2023,SE,FT,Research Scientist,200000,US,0,US,M
682,2023,SE,FT,Data Engineer,90000,US,0,US,M
683,2023,SE,FT,Research Scientist,200000,US,0,US,M
684,2023,SE,FT,Data Analyst,54685,CF,100,CF,M
685,2023,SE,FT,Research Scientist,130000,US,100,US,M
686,2022,EN,FT,Machine Learning Engineer,35093,GB,100,GB,L
687,2021,EX,FT,Director of Data Science,141846,DE,0,DE,L
688,2022,SE,FT,Data Scientist,249500,US,0,US,M
689,2022,MI,FT,Data Scientist,108000,US,50,US,L
690,2022,EN,FT,Machine Learning Developer,33000,IT,100,DE,S
691,2023,SE,FT,Data Engineer,126000,US,0,US,M
692,2023,SE,FT,Data Engineer,147100,US,0,US,M
693,2021,SE,FT,Data Analyst,115000,US,100,US,S
694,2023,SE,FT,Data Scientist,145000,US,100,US,M
695,2022,SE,FT,Machine Learning Engineer,65000,AE,100,AE,S
696,2023,EN,FT,Data Engineer,17022,IN,100,IN,L
697,2022,SE,FT,Data Engineer,100000,US,0,US,M
698,2023,EN,FT,Data Engineer,125000,US,0,US,M
699,2022,SE,FT,Data Scientist,191475,US,100,US,M
700,2022,SE,FT,Data Scientist,225000,US,0,US,M
701,2022,MI,FT,Data Scientist,90000,US,100,US,M
702,2022,SE,FT,Data Engineer,95000,US,0,US,M
703,2023,SE,FT,Data Analyst,60000,US,0,US,M
704,2023,EN,FT,Data Analyst,75000,US,100,US,M
705,2023,MI,FT,Data Analyst,182500,US,0,US,M
706,2023,EN,FT,Data Analyst,85000,US,100,US,M
707,2023,SE,FT,Data Analytics Manager,120000,US,100,US,M
708,2021,SE,FT,Machine Learning Engineer,200000,US,100,US,L
709,2023,SE,FT,Data Manager,72946,GB,0,GB,M
710,2022,SE,FT,Data Scientist,140700,US,0,US,M
711,2023,MI,FT,Data Manager,135000,US,0,US,M
712,2023,EN,FT,Data Analyst,60000,US,100,US,M
713,2023,MI,FT,Data Specialist,130000,US,0,US,M
714,2022,MI,FT,Analytics Engineer,200000,US,0,US,M
715,2022,SE,FT,Data Scientist,198800,US,0,US,M
716,2021,EN,FT,Machine Learning Engineer,125000,US,100,US,S
717,2023,MI,FT,Data Scientist,100000,US,0,US,M
718,2023,EX,FT,Data Engineer,236000,US,100,US,M
719,2023,SE,FT,Data Engineer,106800,US,100,US,M
720,2023,SE,FT,Data Scientist,135000,US,100,US,M
721,2023,SE,FT,Data Analyst,121700,US,0,US,M
722,2023,MI,FT,Data Scientist,82920,US,100,US,M
723,2022,MI,FT,Data Analyst,100000,US,0,US,M
724,2022,SE,FT,Data Engineer,178750,US,0,US,M
725,2022,MI,FT,Data Engineer,61566,GB,0,GB,M
726,2021,MI,FT,Data Scientist,109000,US,50,US,L
727,2023,SE,FT,Data Science Manager,134236,US,0,US,M
728,2021,SE,FT,Data Engineer,113476,GB,100,GB,M
729,2023,SE,FT,Machine Learning Engineer,247500,US,0,US,M
730,2023,SE,FT,Data Scientist,104000,US,100,US,M
731,2023,SE,FT,Data Scientist,70000,US,0,US,M
732,2022,SE,FT,Machine Learning Engineer,131300,US,100,US,L
733,2022,SE,FT,Data Scientist,180000,US,0,US,M
734,2022,SE,FT,Data Engineer,61566,GB,0,GB,M
735,2022,MI,FT,Data Scientist,75648,DE,100,DE,S
736,2023,SE,FT,Analytics Engineer,116450,US,0,US,M
737,2021,SE,FT,ML Engineer,256000,US,100,US,S
738,2023,SE,FT,Data Science Manager,299500,US,0,US,M
739,2022,EN,FT,Data Engineer,135000,US,0,US,M
740,2022,SE,FT,Data Engineer,135000,US,100,US,M
741,2020,MI,FT,Data Analyst,46759,FR,50,FR,L
742,2023,SE,FT,Data Analyst,208049,US,0,US,M
743,2023,SE,FT,Data Engineer,250000,US,100,US,M
744,2023,MI,FT,Data Analyst,150000,US,0,US,M
745,2023,SE,FT,Data Scientist,237000,US,100,US,M
746,2022,SE,FT,Data Analyst,105000,US,0,US,M
747,2022,SE,FT,Data Scientist,141525,US,100,US,M
748,2023,EN,FT,Data Engineer,58000,US,100,US,M
749,2022,SE,FT,Data Analyst,36773,ES,0,ES,M
750,2022,SE,FT,Data Analyst,39925,ES,0,ES,M
751,2022,SE,FT,Data Engineer,36773,ES,0,ES,M
752,2023,MI,FT,Research Scientist,151800,US,100,US,M
753,2022,SE,FT,Data Analyst,100000,US,0,US,M
754,2022,SE,FT,Data Engineer,156600,US,100,US,M
755,2023,SE,FT,Data Engineer,175000,US,100,US,M
756,2023,SE,FT,Data Engineer,220000,US,100,US,M
757,2023,SE,FT,Data Scientist,104650,US,100,US,M
758,2022,MI,FT,Data Science Consultant,51716,GB,0,GB,M
759,2022,MI,FT,Data Engineer,90000,US,100,US,M
760,2023,SE,FT,Data Scientist,140000,US,0,US,M
761,2021,EN,FT,Data Scientist,100000,US,100,US,M
762,2023,MI,FT,Data Scientist,106250,US,0,US,M
763,2023,SE,FT,Computer Vision Engineer,215000,US,0,US,M
764,2022,MI,FT,Data Analyst,135000,US,100,US,M
765,2022,SE,FT,Machine Learning Engineer,164996,US,0,US,M
766,2022,MI,FT,Data Analyst,216200,US,0,US,M
767,2022,EN,FT,Data Scientist,100000,US,100,US,M
768,2022,MI,FT,Data Analyst,430967,GB,0,GB,M
769,2023,MI,FT,Data Engineer,60400,US,100,US,M
770,2023,SE,FT,Data Analyst,125000,US,0,US,M
771,2022,SE,FT,Data Scientist,208000,US,100,US,M
772,2023,EX,FT,Analytics Engineer,221000,US,100,US,M
773,2023,SE,FT,Data Scientist,185900,US,0,US,M
774,2023,SE,FT,Data Analyst,175000,US,0,US,M
775,2023,SE,FT,Data Scientist,219000,CA,0,CA,M
776,2022,SE,FT,Data Scientist,120000,US,100,US,S
777,2022,SE,FT,Data Engineer,82280,GB,100,GB,M
778,2023,MI,FT,Machine Learning Engineer,58331,GB,100,GB,M
779,2022,SE,FT,Data Architect,66000,US,100,US,M
780,2022,SE,FT,Data Engineer,150000,US,0,US,M
781,2022,MI,FT,Applied Machine Learning Scientist,75000,BO,100,US,M
782,2022,MI,FT,Data Scientist,83171,AU,0,AU,L
783,2021,MI,FT,Computer Vision Software Engineer,95746,DE,100,US,S
784,2020,MI,FT,Data Scientist,79833,DE,0,DE,L
785,2022,SE,FT,Data Engineer,130000,US,0,US,M
786,2023,SE,FT,Data Manager,100000,US,0,US,M
787,2023,SE,FT,Data Analyst,145000,US,0,US,M
788,2022,MI,FT,Data Analyst,113000,US,0,US,L
789,2023,SE,FT,Data Analyst,180000,US,0,US,M
790,2022,SE,FT,Applied Scientist,230000,US,100,US,M
791,2023,EN,FT,Machine Learning Engineer,145885,US,0,US,M
792,2023,EN,FT,Applied Scientist,110680,US,0,US,L
793,2020,EN,PT,Data Scientist,21669,IT,50,IT,S
794,2022,SE,FT,Machine Learning Engineer,204500,US,0,US,M
795,2022,MI,FT,Data Engineer,63040,GR,100,GR,M
796,2022,MI,FT,Machine Learning Researcher,130000,US,100,US,M
797,2023,SE,FT,Business Intelligence Engineer,225000,US,0,US,M
798,2022,SE,FT,Data Engineer,130000,US,0,US,M
799,2023,SE,FT,Data Scientist,225000,US,100,US,M
800,2023,SE,FT,Data Analyst,110000,US,100,US,M
801,2023,SE,FT,Data Analyst,106020,US,0,US,M
802,2023,SE,FT,Analytics Engineer,170000,US,100,US,M
803,2022,SE,FT,Data Scientist,202800,US,0,US,L
804,2022,EX,FT,Data Analyst,110000,US,100,US,M
805,2022,SE,FT,Data Scientist,140000,US,100,US,M
806,2022,SE,FT,Data Engineer,170000,US,100,US,M
807,2023,SE,FT,Data Scientist,245000,US,0,US,M
808,2023,SE,FT,Data Engineer,133300,US,0,US,M
809,2021,MI,PT,3D Computer Vision Researcher,5409,IN,50,IN,M
810,2020,SE,FT,Machine Learning Engineer,150000,US,50,US,L
811,2022,SE,FT,Data Analyst,150000,US,100,US,M
812,2023,SE,FT,Data Engineer,201450,US,100,US,M
813,2022,MI,FT,Data Engineer,73880,GB,100,GB,M
814,2022,SE,FT,Machine Learning Engineer,142200,US,0,US,M
815,2022,SE,FT,Data Engineer,105700,US,0,US,L
816,2023,SE,FT,BI Developer,100000,US,100,US,M
817,2022,SE,FT,Data Scientist,129300,US,0,US,M
818,2023,SE,FT,Data Engineer,253200,US,0,US,M
819,2022,MI,FT,Data Engineer,24000,US,0,US,M
820,2022,MI,FT,Machine Learning Developer,76814,CA,100,CA,M
821,2023,EN,FT,Data Engineer,135000,US,0,US,M
822,2023,SE,FT,Data Analyst,140000,US,100,US,M
823,2023,MI,FT,Data Scientist,170000,US,0,US,M
824,2023,SE,FT,Data Analyst,105500,US,0,US,M
825,2022,EN,FT,Data Engineer,120000,US,100,US,M
826,2023,SE,FT,Machine Learning Engineer,147000,US,0,US,M
827,2023,SE,FT,Cloud Database Engineer,115000,US,100,US,M
828,2023,MI,FT,Data Analyst,150000,US,0,US,M
829,2023,SE,FT,Data Manager,48000,CO,0,CO,M
830,2023,MI,FT,Data Science Manager,195000,US,0,US,M
831,2022,SE,FT,Data Engineer,130000,US,0,US,M
832,2022,EN,FT,Data Analyst,55000,US,100,US,S
833,2022,SE,FT,Machine Learning Engineer,172200,US,0,US,M
834,2023,SE,FT,Research Scientist,145900,US,0,US,M
835,2023,SE,FT,Research Engineer,189110,US,0,US,M
836,2022,SE,FT,Applied Scientist,212800,US,100,US,M
837,2022,SE,FT,Data Scientist,210000,US,100,US,M
838,2022,SE,FT,Data Engineer,182500,US,100,US,M
839,2022,MI,FT,Data Scientist,67597,CA,100,CA,M
840,2023,SE,FT,Data Engineer,145000,CA,100,CA,M
841,2023,SE,FT,Machine Learning Engineer,140000,US,100,US,M
842,2022,SE,FT,Data Engineer,160080,US,0,US,M
843,2022,MI,FT,Data Analyst,150000,US,0,US,M
844,2022,MI,FT,Machine Learning Engineer,80036,GB,0,GB,M
845,2023,SE,FT,AI Scientist,423834,IL,0,IL,L
846,2023,SE,FT,Data Analyst,42533,CF,100,CF,M
847,2022,SE,FT,Data Scientist,47280,ES,0,ES,M
848,2023,SE,FT,Data Analyst,70000,US,0,US,M
849,2023,SE,FT,Data Analyst,75000,US,100,US,M
850,2022,SE,FT,Data Engineer,161000,US,100,US,M
851,2022,SE,FT,Data Engineer,275000,US,100,US,M
852,2023,SE,FT,Machine Learning Engineer,150000,US,0,US,M
853,2021,MI,FT,Data Scientist,9466,IN,0,IN,S
854,2023,MI,FT,Data Engineer,175000,US,0,US,M
855,2020,SE,FT,Data Engineer,33511,MX,0,MX,S
856,2022,SE,FT,Data Scientist,198440,US,0,US,L
857,2023,SE,FT,Data Scientist,170000,US,0,US,M
858,2023,SE,FT,Data Scientist,147100,US,0,US,M
859,2022,SE,FT,Data Engineer,166000,US,100,US,M
860,2022,EN,FT,Data Scientist,83171,AU,50,AU,M
861,2023,MI,FT,Data Analyst,61200,US,0,US,M
862,2023,SE,FT,Data Analyst,80000,US,0,US,M
863,2023,SE,FT,Data Engineer,241000,US,0,US,M
864,2023,SE,FT,Data Architect,113000,US,0,US,M
865,2022,SE,FT,Data Scientist,153000,US,100,US,M
866,2020,EN,FT,Data Engineer,54742,PK,100,DE,L
867,2022,SE,FT,Machine Learning Software Engineer,227200,CA,100,CA,M
868,2022,EX,FT,Machine Learning Scientist,180000,US,100,US,S
869,2023,SE,FT,Data Scientist,150000,US,0,US,M
870,2023,SE,FT,Data Engineer,183600,US,0,US,M
871,2021,MI,FT,Applied Machine Learning Scientist,423000,US,50,US,L
872,2023,MI,FT,ML Engineer,147000,US,0,US,M
873,2023,EN,FT,Data Analyst,75000,US,100,US,M
874,2022,MI,FT,Data Scientist,84000,BR,100,BR,M
875,2022,EN,FT,3D Computer Vision Researcher,50000,US,100,CR,S
876,2022,SE,FT,Data Engineer,130000,US,100,US,M
877,2022,MI,FT,Business Data Analyst,17805,IN,100,IN,M
878,2023,MI,FT,AI Scientist,38631,ES,50,ES,L
879,2022,SE,FT,Data Engineer,165000,US,100,US,M
880,2021,MI,FT,Data Scientist,119059,SG,100,IL,M
881,2023,EN,FT,Data Analyst,75000,US,0,US,M
882,2023,SE,FT,Data Engineer,81500,US,0,US,M
883,2023,SE,FT,Data Analyst,115934,US,100,US,M
884,2023,SE,FT,Data Engineer,129000,US,0,US,M
885,2023,SE,FT,Data Architect,180000,US,100,US,M
886,2023,SE,FT,Data Analyst,121600,US,100,US,M
887,2022,EN,FT,Data Engineer,59888,NL,100,NL,L
888,2023,EX,FT,Data Engineer,150900,US,0,US,M
889,2022,SE,FT,Data Scientist,146000,US,100,US,M
890,2023,SE,FT,Data Operations Engineer,193000,US,100,US,M
891,2022,SE,FT,Data Engineer,138750,US,100,US,M
892,2022,EX,FT,Head of Machine Learning,76309,IN,50,IN,L
893,2022,SE,FT,Data Engineer,195700,US,0,US,M
894,2023,SE,FT,Applied Scientist,159100,US,0,US,L
895,2023,SE,FT,Data Engineer,133300,US,0,US,M
896,2023,SE,FT,Data Scientist,145000,US,100,US,M
897,2023,SE,FT,Data Scientist,170000,US,0,US,M
898,2023,SE,FT,Data Engineer,165000,US,100,US,M
899,2022,MI,FT,Business Data Analyst,69133,CA,50,CA,L
900,2023,MI,FT,Data Engineer,149600,US,0,US,M
901,2022,SE,FT,Data Science Manager,247500,US,0,US,M
902,2022,MI,FT,Data Scientist,130000,US,0,US,M
903,2022,SE,FT,Data Engineer,78000,US,0,US,M
904,2023,SE,FT,Data Analyst,93800,US,100,US,M
905,2023,SE,FT,Data Scientist,300240,US,0,US,M
906,2023,SE,FT,Data Engineer,140000,US,0,US,M
907,2023,SE,FT,Data Analyst,130000,US,100,US,M
908,2023,SE,FT,Machine Learning Engineer,122700,US,0,US,M
909,2023,SE,FT,Data Analyst,190000,US,100,US,M
910,2022,SE,FT,Data Engineer,115000,US,100,US,M
911,2022,EX,FT,Data Science Manager,222640,US,0,US,M
912,2022,EX,FT,Data Scientist,159000,US,100,US,M
913,2023,SE,FT,Data Engineer,109400,US,0,US,M
914,2023,MI,FT,Data Analyst,80000,US,0,US,M
915,2023,EN,FT,Data Scientist,124234,US,0,US,M
916,2023,SE,FT,Machine Learning Engineer,153400,US,0,US,M
917,2023,SE,FT,Machine Learning Engineer,142200,US,0,US,M
918,2023,SE,FT,Data Engineer,252000,US,0,US,M
919,2023,SE,FT,Computer Vision Engineer,185000,US,0,US,M
920,2022,EN,FT,Data Engineer,65000,US,0,US,M
921,2023,SE,FT,Data Analyst,105200,US,0,US,M
922,2022,MI,FT,Data Engineer,120000,US,0,US,M
923,2023,MI,FT,AI Developer,75020,FI,0,FI,M
